Geo Point;Geo Shape;codeunique;nom_long;label;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;idrefliga;idrefligc;res_com;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.846151122159775, 2.3549179836962724;"{""coordinates"": [2.354917983696272, 48.846151122159775], ""type"": ""Point""}";110065.0;Jussieu;Jussieu;71148.0;Jussieu;43493.0;Jussieu;A01540 / A01543;C01377 / C01380;METRO 7 / METRO 10;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;652658.9530000016;6860871.807999998
48.87388185323738, 2.3853162151017924;"{""coordinates"": [2.385316215101792, 48.87388185323738], ""type"": ""Point""}";111043.0;Pyrénées;Pyrénées;71864.0;Pyrenées;44580.0;Pyrénées;A01544;C01381;METRO 11;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;654913.7647999972;6863937.4476
48.87817339013579, 2.3378575103810166;"{""coordinates"": [2.337857510381017, 48.87817339013579], ""type"": ""Point""}";112071.0;Saint-Georges;Saint-Georges;71366.0;Saint-Georges;44867.0;Saint-Georges;A01545;C01382;METRO 12;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;651436.8123999983;6864442.7809000015
48.89241892202498, 2.3447646117383565;"{""coordinates"": [2.344764611738356, 48.89241892202498], ""type"": ""Point""}";112079.0;Jules Joffrin;Jules Joffrin;71521.0;Jules Joffrin;479055.0;Jules Joffrin;A01545;C01382;METRO 12;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;651956.5293999985;6866022.573800001
48.831825648665415, 2.314122323470855;"{""coordinates"": [2.314122323470855, 48.831825648665415], ""type"": ""Point""}";114041.0;Plaisance;Plaisance;71039.0;Plaisance / Vercingétorix;45322.0;Plaisance;A01546;C01383;METRO 13;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;649651.2929000035;6859304.204
48.88718394594505, 2.325779674806892;"{""coordinates"": [2.325779674806892, 48.88718394594505], ""type"": ""Point""}";114067.0;La Fourche;La Fourche;71474.0;La Fourche;43548.0;La Fourche;A01546;C01383;METRO 13;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;650559.570100002;6865452.192699999
48.8973747946088, 2.328942812779893;"{""coordinates"": [2.328942812779893, 48.8973747946088], ""type"": ""Point""}";114071.0;Porte de Saint-Ouen;Porte de Saint-Ouen;72078.0;Porte de Saint-Ouen;44525.0;Porte de Saint-Ouen;A01546 / A01757;C01383 / C01679;METRO 13 / TRAM 3b;METRO / TRAMWAY;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;650801.1471000016;6866583.384100001
48.879493109710666, 2.388566870447523;"{""coordinates"": [2.388566870447523, 48.879493109710666], ""type"": ""Point""}";117033.0;Botzaris;Botzaris;71906.0;Botzaris;42369.0;Botzaris;A01550;C01387;METRO 7bis;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;655157.0226999968;6864559.5328
48.83290081474693, 2.33713519470604;"{""coordinates"": [2.33713519470604, 48.83290081474693], ""type"": ""Point""}";106055.0;Saint-Jacques;Saint-Jacques;71041.0;Saint-Jacques;45315.0;Saint-Jacques;A01539;C01376;METRO 6;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;651341.5781999975;6859409.322799999
48.847507081068045, 2.302968296454798;"{""coordinates"": [2.302968296454798, 48.847507081068045], ""type"": ""Point""}";106069.0;Cambronne;Cambronne;71167.0;Cambronne;42419.0;Cambronne;A01539;C01376;METRO 6;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;648847.9143000022;6861054.976599999
